"Ncas" "NTem" "Strate" "TAB" "ALC" "cancer"
2 14 16 3 4 1
0 5 16 4 1 0
2 7 16 4 2 1
0 2 16 4 3 0
4 9 16 4 4 1
0 21 17 1 1 0
0 22 17 1 2 0
1 11 17 1 3 1
0 10 17 1 4 0
0 10 17 2 1 0
0 14 17 2 2 0
1 5 17 2 3 1
0 6 17 2 4 0
5 12 17 3 1 1
2 13 17 3 2 1
1 3 17 3 3 1
0 9 17 3 4 0
0 1 17 4 1 0
1 4 17 4 2 1
1 1 17 4 3 1
0 5 17 4 4 0
0 15 18 1 1 0
0 7 18 1 2 0
0 4 18 1 3 0
0 2 18 1 4 0
1 5 18 2 1 1
0 3 18 2 2 0
1 1 18 2 3 1
0 1 18 2 4 0
0 6 18 3 1 0
1 5 18 3 2 1
0 3 18 3 3 0
1 4 18 3 4 1
0 2 18 4 1 0
0 8 19 1 1 0
0 5 19 1 2 0
0 3 19 1 3 0
0 1 19 1 4 0
0 5 19 2 1 0
0 4 19 2 2 0
0 1 19 2 3 0
0 1 19 2 4 0
0 5 19 3 1 0
0 7 19 3 2 0
0 1 19 3 3 0
0 1 19 3 4 0
0 3 19 4 1 0
0 1 19 4 2 0
1 1 19 4 4 1
0 13 20 1 1 0
0 8 20 1 2 0
0 2 20 1 3 0
0 1 20 1 4 0
0 4 20 2 1 0
0 4 20 2 2 0
0 1 20 2 3 0
0 10 20 3 1 0
0 4 20 3 2 0
0 3 20 3 3 0
0 4 20 3 4 0
0 1 20 4 1 0
1 1 20 4 3 1
3 0 20 4 4 1
0 16 21 1 1 0
0 9 21 1 2 0
0 2 21 1 3 0
0 2 21 1 4 0
0 4 21 2 1 0
0 3 21 2 2 0
0 3 21 2 3 0
1 2 21 2 4 1
0 11 21 3 1 0
0 6 21 3 2 0
0 1 21 3 3 0
1 0 21 3 4 1
0 2 21 4 1 0
1 1 21 4 2 1
0 1 21 4 3 0
1 0 21 4 4 1
0 12 22 1 1 0
0 11 22 1 2 0
0 2 22 1 3 0
0 6 22 2 1 0
1 2 22 2 2 1
0 4 22 2 3 0
0 1 22 2 4 0
1 12 22 3 1 1
1 9 22 3 2 1
2 5 22 3 3 1
2 1 22 3 4 1
0 2 22 4 1 0
1 1 22 4 2 1
2 1 22 4 3 1
1 1 22 4 4 1
0 17 23 1 1 0
0 11 23 1 2 0
0 1 23 1 3 0
0 5 23 1 4 0
0 10 23 2 1 0
0 2 23 2 2 0
0 1 23 2 3 0
0 3 23 2 4 0
4 9 23 3 1 1
0 4 23 3 2 0
1 6 23 3 3 1
0 4 23 3 4 0
1 4 23 4 2 1
2 2 23 4 4 1
0 6 24 1 1 0
1 6 24 1 2 1
0 2 24 1 3 0
0 2 24 1 4 0
0 2 24 2 1 0
1 3 24 2 2 1
0 1 24 2 4 0
1 2 24 3 1 1
0 1 24 3 2 0
0 1 24 4 3 0
0 7 25 1 1 0
0 4 25 1 2 0
0 2 25 2 2 0
0 1 25 2 4 0
0 1 25 3 1 0
0 4 25 3 2 0
0 1 25 3 3 0
0 11 26 1 1 0
0 14 26 1 2 0
0 2 26 1 3 0
0 2 26 1 4 0
0 6 26 2 1 0
0 2 26 2 2 0
1 1 26 2 4 1
0 2 26 3 1 0
0 4 26 3 2 0
0 2 26 3 3 0
0 1 26 4 1 0
0 3 26 4 2 0
0 1 26 4 3 0
0 10 27 1 1 0
0 8 27 1 2 0
0 3 27 1 3 0
0 3 27 1 4 0
0 4 27 2 1 0
1 6 27 2 2 1
0 2 27 2 3 0
1 0 27 2 4 1
0 5 27 3 1 0
7 10 27 3 2 1
2 8 27 3 3 1
1 2 27 3 4 1
0 3 27 4 1 0
1 2 27 4 2 1
1 2 27 4 4 1
0 11 28 1 1 0
1 15 28 1 2 1
0 7 28 1 3 0
0 3 28 1 4 0
1 7 28 2 1 1
1 11 28 2 2 1
2 7 28 2 3 1
3 2 28 2 4 1
2 14 28 3 1 1
3 14 28 3 2 1
6 5 28 3 3 1
5 0 28 3 4 1
2 7 28 4 1 1
0 6 28 4 2 0
2 4 28 4 3 1
3 2 28 4 4 1
0 11 29 1 1 0
0 10 29 1 2 0
0 4 29 1 3 0
1 1 29 1 4 1
0 10 29 2 1 0
1 8 29 2 2 1
0 1 29 2 3 0
3 4 29 2 4 1
3 10 29 3 1 1
2 4 29 3 2 1
1 5 29 3 3 1
2 3 29 3 4 1
0 6 29 4 1 0
0 2 29 4 2 0
1 0 29 4 3 1
3 0 29 4 4 1
0 12 30 1 1 0
1 5 30 1 2 1
0 4 30 1 3 0
0 2 30 1 4 0
0 6 30 2 1 0
1 5 30 2 2 1
0 4 30 2 3 0
0 2 30 2 4 0
0 2 30 3 1 0
0 2 30 3 2 0
0 1 30 3 3 0
1 2 30 3 4 1
0 3 30 4 1 0
0 1 30 4 2 0
0 1 30 4 3 0
1 0 30 4 4 1
0 17 31 1 1 0
0 8 31 1 2 0
0 4 31 1 3 0
0 18 31 2 1 0
0 7 31 2 2 0
0 2 31 2 4 0
0 12 31 3 1 0
0 4 31 3 2 0
0 1 31 3 4 0
0 1 31 4 1 0
0 2 31 4 2 0
0 18 32 1 1 0
0 14 32 1 2 0
0 3 32 1 3 0
0 9 32 2 1 0
0 10 32 2 2 0
0 3 32 2 3 0
0 1 32 2 4 0
0 11 32 3 1 0
0 11 32 3 2 0
1 5 32 3 3 1
0 2 32 3 4 0
0 3 32 4 1 0
0 1 32 4 3 0
1 0 32 4 4 1
0 11 33 1 1 0
0 13 33 1 2 0
0 3 33 1 3 0
1 7 33 2 1 1
1 6 33 2 2 1
4 5 33 2 3 1
1 4 33 2 4 1
1 7 33 3 1 1
2 9 33 3 2 1
2 8 33 3 3 1
2 5 33 3 4 1
0 4 33 4 1 0
1 0 33 4 2 1
1 2 33 4 3 1
0 4 33 4 4 0
1 9 34 1 1 1
0 7 34 1 2 0
0 1 34 1 3 0
0 4 34 1 4 0
0 5 34 2 1 0
2 10 34 2 2 1
2 8 34 2 3 1
1 1 34 2 4 1
0 10 34 3 1 0
3 9 34 3 2 1
2 3 34 3 3 1
2 4 34 3 4 1
0 5 34 4 1 0
0 4 34 4 2 0
0 2 34 4 3 0
0 4 34 4 4 0
0 11 35 1 1 0
1 15 35 1 2 1
1 5 35 1 3 1
1 5 35 1 4 1
2 5 35 2 1 1
1 10 35 2 2 1
2 6 35 2 3 1
3 4 35 2 4 1
1 5 35 3 1 1
2 4 35 3 2 1
0 2 35 3 3 0
0 2 35 3 4 0
0 4 35 4 1 0
0 1 35 4 2 0
0 1 35 4 3 0
1 2 35 4 4 1
0 13 36 1 1 0
0 12 36 1 2 0
0 4 36 1 3 0
0 3 36 1 4 0
0 4 36 2 1 0
0 2 36 2 2 0
1 5 36 2 3 1
1 2 36 2 4 1
0 1 36 3 1 0
1 8 36 3 2 1
0 4 36 3 3 0
0 1 36 3 4 0
0 3 36 4 1 0
0 1 36 4 3 0
0 1 36 4 4 0
